=== Création du fichier log le vendredi 5 mars 2017 à 18:13:48 ===
[2017-03-17 18:13:48] Server up at 172.17.0.130:8080
[2017-03-17 18:13:49] PANEL | 88.185.57.63 | Admin connected to panel
[2017-03-17 18:13:49] PANEL | 88.185.57.63 | Checking the state of cat DataBase...
[2017-03-17 18:13:49] PANEL | 88.185.57.63 | Receving cat DataBase
[2017-03-17 18:13:49] PANEL | 88.185.57.63 | Sending cat DataBase to client
[2017-03-17 18:13:49] PANEL | 88.185.57.63 | Checking the state of dog DataBase...
[2017-03-17 18:13:49] PANEL | 88.185.57.63 | Receving dog DataBase
[2017-03-17 18:13:49] PANEL | 88.185.57.63 | Sending dog DataBase to client
[2017-03-17 18:13:49] PANEL | 88.185.57.63 | Geting UID...
[2017-03-17 18:13:49] PANEL | 88.185.57.63 | Sending UID...
[2017-03-17 18:13:49] PANEL | 88.185.57.63 | All sending steps are successful
[2017-03-17 18:26:45] X | User disconnected
